state,price,,
Abia,137.246866329022,,
Adamawa,118.864041004887,,
Akwa Ibom,159.062576885124,,
Anambra,133.624203282891,,
Bauchi,123.405684377083,,
Bayelsa,219.265357164024,,
Benue,139.611612207926,,
Borno,139.521739437706,,
Cross River,134.872023908373,,
Delta,140.955422919372,,
Ebonyi,146.195019428342,,
Edo,152.632324515999,,
Ekiti,160.926034908046,,
Enugu,137.377328468188,,
FCT,136.656124088499,,
Gombe,125.234154580737,,
Imo,158.682808716549,,
Jigawa,126.583044910649,,
Kaduna,123.793712478873,,
Kano,120.299256001419,,
Katsina,111.3902477253,,
Kebbi,117.506308776986,,
Kogi,151.480397640889,,
Kwara,136.109856001651,,
Lagos,160.782569826081,,
Nasarawa,122.644225510106,,
Niger,115.677661331367,,
Ogun,158.428234759206,,
Ondo,143.477140025737,,
Osun,126.040428811366,,
Oyo,147.978189571705,,
Plateau,124.317484261397,,
Rivers,202.870214320043,,
Sokoto,128.401008355769,,
Taraba,137.035877804152,,
Yobe,119.547892046778,,
Zamfara,112.025459287059,,