"state","date","price"
"Abia",2009-01-01,123.761423746745
"Abia",2009-02-01,129.991086324056
"Abia",2009-03-01,137.424240112305
"Abia",2009-04-01,123.636360168457
"Abia",2009-05-01,124.24242401123
"Abia",2009-06-01,133.333333333333
"Abia",2010-01-01,126.18181854248
"Abia",2010-02-01,159.272717590332
"Abia",2010-03-01,141.090907287598
"Abia",2010-04-01,129.457914428711
"Abia",2010-05-01,145.655934143066
"Abia",2010-06-01,197.67595916748
"Abia",2010-07-01,129.454545898437
"Abia",2010-08-01,138.650570983887
"Abia",2010-09-01,130.184710083008
"Abia",2010-10-01,241.693700561523
"Abia",2010-11-01,150.918666992187
"Abia",2010-12-01,130.250950317383
"Abia",2011-01-01,118.181816101074
"Abia",2011-02-01,128.687271118164
"Abia",2011-03-01,133.372959136963
"Abia",2011-04-01,154.075622558594
"Abia",2011-05-01,116.575752258301
"Abia",2011-06-01,134.109085083008
"Abia",2011-07-01,126.016258239746
"Abia",2011-09-01,123.614267985026
"Abia",2011-10-01,153.838386535645
"Abia",2011-11-01,152.595748901367
"Abia",2011-12-01,117.037033081055
"Abia",2012-01-01,139.16755065918
"Abia",2012-02-01,123.637847900391
"Abia",2012-03-01,138.725261688232
"Abia",2012-04-01,133.065689086914
"Abia",2012-05-01,116.575752258301
"Abia",2012-06-01,133.065689086914
"Abia",2012-07-01,147.102062225342
"Abia",2012-08-01,135.424724578857
"Abia",2012-09-01,123.637108561198
"Abia",2012-10-01,131.854537963867
"Abia",2012-11-01,149.559584350586
"Abia",2012-12-01,152.512503051758
"Adamawa",2009-02-01,116.65728187561
"Adamawa",2009-03-01,109.996826171875
"Adamawa",2009-04-01,118.625955104828
"Adamawa",2009-05-01,105.551043192546
"Adamawa",2009-06-01,143.475032382541
"Adamawa",2010-01-01,98.4796682739258
"Adamawa",2010-02-01,113.240030212402
"Adamawa",2010-03-01,114.316972351074
"Adamawa",2010-04-01,102.844258422852
"Adamawa",2010-05-01,127.712631225586
"Adamawa",2010-06-01,107.120294799805
"Adamawa",2010-07-01,112.541954040527
"Adamawa",2010-08-01,112.325171508789
"Adamawa",2010-09-01,108.898501586914
"Adamawa",2010-10-01,124.204301147461
"Adamawa",2010-11-01,156.862557373047
"Adamawa",2010-12-01,107.932434997559
"Adamawa",2011-01-01,120.773399353027
"Adamawa",2011-02-01,137.230911254883
"Adamawa",2011-03-01,94.569091796875
"Adamawa",2011-04-01,111.464302062988
"Adamawa",2011-05-01,109.30640411377
"Adamawa",2011-06-01,142.557174682617
"Adamawa",2011-07-01,95.8160883585612
"Adamawa",2011-08-01,126.930450439453
"Adamawa",2011-09-01,148.104476928711
"Adamawa",2011-10-01,126.888572692871
"Adamawa",2011-11-01,113.47925567627
"Adamawa",2012-01-01,132.881439208984
"Adamawa",2012-02-01,156.295745849609
"Adamawa",2012-03-01,128.771347045898
"Adamawa",2012-04-01,87.3971138000488
"Adamawa",2012-05-01,109.30640411377
"Adamawa",2012-06-01,141.297744750977
"Adamawa",2012-07-01,117.747146606445
"Adamawa",2012-08-01,138.132690429688
"Adamawa",2012-09-01,148.076141357422
"Adamawa",2012-10-01,129.955978393555
"Adamawa",2012-11-01,129.719853515625
"Adamawa",2012-12-01,129.221385301862
"Akwa Ibom",2009-05-01,170
"Akwa Ibom",2010-01-01,165.555555555556
"Akwa Ibom",2010-02-01,144.284283673322
"Akwa Ibom",2010-03-01,158.870385064019
"Akwa Ibom",2010-04-01,153.033443874783
"Akwa Ibom",2010-05-01,140
"Akwa Ibom",2010-06-01,152.777777777778
"Akwa Ibom",2010-07-01,140.37037037037
"Akwa Ibom",2010-08-01,141.925925925926
"Akwa Ibom",2010-09-01,144.483033356843
"Akwa Ibom",2010-10-01,184.210525512695
"Akwa Ibom",2010-11-01,133.766884132668
"Akwa Ibom",2010-12-01,152.777777777778
"Akwa Ibom",2011-01-01,142.679992675781
"Akwa Ibom",2011-02-01,141.839996337891
"Akwa Ibom",2011-03-01,186.410247802734
"Akwa Ibom",2011-04-01,142.970703125
"Akwa Ibom",2011-05-01,152
"Akwa Ibom",2011-06-01,154.017518142174
"Akwa Ibom",2011-07-01,160.650390625
"Akwa Ibom",2011-08-01,153.179992675781
"Akwa Ibom",2011-09-01,154.274185180664
"Akwa Ibom",2011-10-01,142.579360961914
"Akwa Ibom",2011-11-01,150.933334350586
"Akwa Ibom",2011-12-01,149.758071899414
"Akwa Ibom",2012-01-01,150.887084960938
"Akwa Ibom",2012-02-01,160.23518371582
"Akwa Ibom",2012-03-01,149.160003662109
"Akwa Ibom",2012-04-01,160.470077514648
"Akwa Ibom",2012-05-01,152
"Akwa Ibom",2012-06-01,155.894302368164
"Akwa Ibom",2012-07-01,146.950271606445
"Akwa Ibom",2012-08-01,152.175369262695
"Akwa Ibom",2012-09-01,154.326049804688
"Akwa Ibom",2012-10-01,157.673477172852
"Akwa Ibom",2012-11-01,152.209363740066
"Akwa Ibom",2012-12-01,403.757637568883
"Anambra",2009-01-01,120.111111450195
"Anambra",2009-02-01,110.104169845581
"Anambra",2009-03-01,123
"Anambra",2009-04-01,128.416668701172
"Anambra",2009-05-01,137.500015258789
"Anambra",2009-06-01,136.812503051758
"Anambra",2010-01-01,148.75537109375
"Anambra",2010-02-01,140
"Anambra",2010-03-01,132.481203351702
"Anambra",2010-04-01,133.073593139648
"Anambra",2010-05-01,132.481203351702
"Anambra",2010-06-01,126.403941563198
"Anambra",2010-07-01,87.9684252057757
"Anambra",2010-08-01,113.604330880301
"Anambra",2010-09-01,120.613028390067
"Anambra",2010-10-01,255.960597446987
"Anambra",2010-11-01,133.333343505859
"Anambra",2010-12-01,138.339920043945
"Anambra",2011-01-01,120
"Anambra",2011-02-01,121.607933044434
"Anambra",2011-03-01,122.448974609375
"Anambra",2011-04-01,120
"Anambra",2011-05-01,121.66667175293
"Anambra",2011-06-01,126.66667175293
"Anambra",2011-07-01,124.377685546875
"Anambra",2011-09-01,142.510803222656
"Anambra",2011-10-01,120
"Anambra",2011-11-01,82.1411743164062
"Anambra",2011-12-01,129.747283935547
"Anambra",2012-01-01,134.542129516602
"Anambra",2012-02-01,129.655685424805
"Anambra",2012-03-01,132.181060791016
"Anambra",2012-04-01,111.97917175293
"Anambra",2012-05-01,121.66667175293
"Anambra",2012-06-01,131.63264465332
"Anambra",2012-07-01,130.973083496094
"Anambra",2012-08-01,133.323181152344
"Anambra",2012-09-01,142.271301269531
"Anambra",2012-10-01,153.022232055664
"Anambra",2012-11-01,143.220945085798
"Anambra",2012-12-01,139.557373046875
"Bauchi",2009-01-01,82.7586212158203
"Bauchi",2009-02-01,93.0226252873739
"Bauchi",2009-03-01,118.453831481934
"Bauchi",2009-04-01,126.038162231445
"Bauchi",2009-05-01,126.506890614827
"Bauchi",2009-06-01,132.510987418038
"Bauchi",2010-01-01,115.026927118716
"Bauchi",2010-02-01,115.984922989555
"Bauchi",2010-03-01,111.653322302777
"Bauchi",2010-04-01,125.868032704229
"Bauchi",2010-05-01,120.224878062373
"Bauchi",2010-06-01,141.10993426779
"Bauchi",2010-07-01,106.639302792756
"Bauchi",2010-08-01,124.859218431556
"Bauchi",2010-09-01,124.827837073285
"Bauchi",2010-10-01,122.273254394531
"Bauchi",2010-11-01,155.525214817213
"Bauchi",2010-12-01,117.231685804284
"Bauchi",2011-01-01,109.503437042236
"Bauchi",2011-02-01,100.401950836182
"Bauchi",2011-03-01,118.700103759766
"Bauchi",2011-04-01,128.342834472656
"Bauchi",2011-05-01,129.36506652832
"Bauchi",2011-06-01,126.808624267578
"Bauchi",2011-08-01,118.683750152588
"Bauchi",2011-09-01,128.363098144531
"Bauchi",2011-10-01,128.947372436523
"Bauchi",2011-11-01,137.475219726562
"Bauchi",2012-01-01,140.568176269531
"Bauchi",2012-02-01,114.859237670898
"Bauchi",2012-04-01,121.777778625488
"Bauchi",2012-05-01,129.394424438477
"Bauchi",2012-06-01,138.172088623047
"Bauchi",2012-07-01,129.361618041992
"Bauchi",2012-08-01,133.525177001953
"Bauchi",2012-09-01,128.355484008789
"Bauchi",2012-10-01,125.071837902069
"Bauchi",2012-11-01,114.673140816067
"Bauchi",2012-12-01,127.935614609137
"Bayelsa",2009-06-01,172.592590332031
"Bayelsa",2010-01-01,268.181816794656
"Bayelsa",2010-02-01,160.826443758878
"Bayelsa",2010-03-01,199.478051619096
"Bayelsa",2010-04-01,275.974026073109
"Bayelsa",2010-05-01,264.190874273127
"Bayelsa",2010-06-01,211.028564453125
"Bayelsa",2010-07-01,160
"Bayelsa",2010-08-01,171.517669677734
"Bayelsa",2010-09-01,204.59449005127
"Bayelsa",2010-11-01,169.328494678844
"Bayelsa",2010-12-01,190
"Bayelsa",2011-01-01,100.609756469727
"Bayelsa",2011-02-01,202.078521728516
"Bayelsa",2011-03-01,65.3333282470703
"Bayelsa",2011-04-01,211.267608642578
"Bayelsa",2011-05-01,155.98291015625
"Bayelsa",2011-06-01,218.579238891602
"Bayelsa",2011-07-01,217.94873046875
"Bayelsa",2011-08-01,192.563034057617
"Bayelsa",2011-09-01,232.674201965332
"Bayelsa",2011-10-01,170
"Bayelsa",2011-11-01,170
"Bayelsa",2011-12-01,176.153839111328
"Bayelsa",2012-01-01,230.769241333008
"Bayelsa",2012-02-01,170
"Bayelsa",2012-03-01,190.531173706055
"Bayelsa",2012-04-01,185.185180664062
"Bayelsa",2012-05-01,155.98291015625
"Bayelsa",2012-06-01,160
"Bayelsa",2012-07-01,956.744873046875
"Bayelsa",2012-08-01,647.877014160156
"Bayelsa",2012-09-01,232.914054870605
"Bayelsa",2012-10-01,293.013702392578
"Bayelsa",2012-11-01,240.856506347656
"Bayelsa",2012-12-01,292.215078180487
"Benue",2009-01-01,118.304847717285
"Benue",2009-02-01,122.955309549967
"Benue",2009-04-01,133.333330790202
"Benue",2009-05-01,139.393936157227
"Benue",2010-01-01,141.243881225586
"Benue",2010-02-01,141.243881225586
"Benue",2010-03-01,132.172652067962
"Benue",2010-04-01,119.038234286838
"Benue",2010-05-01,134.879724573206
"Benue",2010-06-01,133.496135570385
"Benue",2010-07-01,116.598462140119
"Benue",2010-08-01,127.829237761321
"Benue",2010-09-01,120.07868053295
"Benue",2010-11-01,135.040267379196
"Benue",2010-12-01,131.991972181532
"Benue",2011-01-01,166.36094156901
"Benue",2011-03-01,144.15584564209
"Benue",2011-04-01,135.699111938477
"Benue",2011-05-01,153.082127888997
"Benue",2011-06-01,133.321472167969
"Benue",2011-07-01,135.214225769043
"Benue",2011-08-01,152.231486002604
"Benue",2011-09-01,144.398040771484
"Benue",2011-10-01,127.737525939941
"Benue",2011-11-01,158.912399291992
"Benue",2011-12-01,135.963119506836
"Benue",2012-01-01,153.080417633057
"Benue",2012-02-01,141.479685465495
"Benue",2012-03-01,130.918884277344
"Benue",2012-04-01,143.755794525146
"Benue",2012-05-01,153.078247070312
"Benue",2012-06-01,143.899505615234
"Benue",2012-07-01,144.326034545898
"Benue",2012-08-01,154.568054199219
"Benue",2012-09-01,144.418991088867
"Benue",2012-10-01,153.367202758789
"Benue",2012-11-01,141.031997680664
"Benue",2012-12-01,151.617158508301
"Borno",2009-02-01,128.268501281738
"Borno",2009-03-01,162.481529998779
"Borno",2009-04-01,107.266721089681
"Borno",2009-05-01,106.132727050781
"Borno",2009-06-01,132.052910940988
"Borno",2010-01-01,145.632836235894
"Borno",2010-02-01,145.632836235894
"Borno",2010-03-01,130.365308973524
"Borno",2010-04-01,128.306881374783
"Borno",2010-05-01,136.727686564128
"Borno",2010-06-01,131.190387301975
"Borno",2010-07-01,129.858803643121
"Borno",2010-08-01,118.279185824924
"Borno",2010-09-01,109.285454644097
"Borno",2010-10-01,129.182113647461
"Borno",2010-11-01,142.259477403429
"Borno",2010-12-01,115.753882514106
"Borno",2011-01-01,168.205139160156
"Borno",2011-02-01,135.772583007812
"Borno",2011-03-01,127.234481811523
"Borno",2011-04-01,150.153839111328
"Borno",2011-05-01,132.51318359375
"Borno",2011-06-01,143.746353149414
"Borno",2011-08-01,134.724166870117
"Borno",2011-09-01,172.399719238281
"Borno",2011-10-01,136.074310302734
"Borno",2011-11-01,136.76139831543
"Borno",2011-12-01,129.790603637695
"Borno",2012-01-01,135.187622070312
"Borno",2012-02-01,141.365463256836
"Borno",2012-03-01,146.484588623047
"Borno",2012-04-01,139.417739868164
"Borno",2012-05-01,132.51318359375
"Borno",2012-06-01,146.733200073242
"Borno",2012-07-01,143.576263427734
"Borno",2012-08-01,152.880706787109
"Borno",2012-09-01,172.40641784668
"Borno",2012-10-01,154.083590945682
"Borno",2012-11-01,148.900951131185
"Borno",2012-12-01,146.588624220628
"Cross River",2009-01-01,109.09090423584
"Cross River",2010-01-01,108.961504255022
"Cross River",2010-02-01,107.582577296666
"Cross River",2010-03-01,104.206274850028
"Cross River",2010-04-01,120.55827331543
"Cross River",2010-05-01,76.9742671421596
"Cross River",2010-06-01,78.5062452043806
"Cross River",2010-07-01,71.9765766688756
"Cross River",2010-08-01,129.174399239676
"Cross River",2010-09-01,357.50301688058
"Cross River",2010-10-01,896.990707397461
"Cross River",2010-11-01,135.873016357422
"Cross River",2010-12-01,132.718290056501
"Cross River",2011-02-01,131.244890848796
"Cross River",2011-03-01,105.042015075684
"Cross River",2011-04-01,104.065040588379
"Cross River",2011-05-01,114.800003051758
"Cross River",2011-06-01,125.450191497803
"Cross River",2011-07-01,103.883930206299
"Cross River",2011-08-01,149.305404663086
"Cross River",2011-09-01,153.347106933594
"Cross River",2011-10-01,130.679992675781
"Cross River",2011-11-01,142.934272766113
"Cross River",2011-12-01,111.434776306152
"Cross River",2012-01-01,145.141319274902
"Cross River",2012-02-01,115.789474487305
"Cross River",2012-03-01,126.050415039062
"Cross River",2012-04-01,125.726493835449
"Cross River",2012-05-01,114.800003051758
"Cross River",2012-06-01,116.783218383789
"Cross River",2012-07-01,149.094650268555
"Cross River",2012-08-01,133.046993255615
"Cross River",2012-09-01,153.220474243164
"Cross River",2012-10-01,137.824432373047
"Cross River",2012-11-01,143.464424133301
"Cross River",2012-12-01,145.713325500488
"Delta",2009-02-01,151.388893127441
"Delta",2009-03-01,120
"Delta",2010-01-01,526.25072265625
"Delta",2010-02-01,157.655811767578
"Delta",2010-03-01,90.9784674072266
"Delta",2010-04-01,135.472194824219
"Delta",2010-05-01,79.7794879150391
"Delta",2010-06-01,126.092304077148
"Delta",2010-07-01,34.32
"Delta",2010-08-01,111.804583740234
"Delta",2010-09-01,117.062666015625
"Delta",2010-11-01,126.5047265625
"Delta",2010-12-01,128.612763671875
"Delta",2011-01-01,143.571411132812
"Delta",2011-02-01,159.871246337891
"Delta",2011-03-01,114.052291870117
"Delta",2011-04-01,150.214599609375
"Delta",2011-05-01,118.432594299316
"Delta",2011-06-01,100
"Delta",2011-07-01,117.827865600586
"Delta",2011-08-01,120.292892456055
"Delta",2011-09-01,170.887100219727
"Delta",2011-10-01,127.630523681641
"Delta",2011-11-01,134.570129394531
"Delta",2011-12-01,125.491798400879
"Delta",2012-01-01,129.09407043457
"Delta",2012-02-01,123.889381408691
"Delta",2012-03-01,125.674598693848
"Delta",2012-04-01,131.164657592773
"Delta",2012-05-01,118.473861694336
"Delta",2012-06-01,126.135597229004
"Delta",2012-07-01,147.592422485352
"Delta",2012-08-01,148.884780883789
"Delta",2012-09-01,170.94654083252
"Delta",2012-10-01,114.507049560547
"Delta",2012-11-01,150.97626953125
"Delta",2012-12-01,168.805134277344
"Ebonyi",2009-01-01,128.888888041178
"Ebonyi",2009-02-01,133.75
"Ebonyi",2009-03-01,146.645060221354
"Ebonyi",2009-04-01,113.873626708984
"Ebonyi",2009-05-01,135
"Ebonyi",2009-06-01,152
"Ebonyi",2010-01-01,140
"Ebonyi",2010-02-01,130
"Ebonyi",2010-03-01,128.148148148148
"Ebonyi",2010-04-01,137.962959572121
"Ebonyi",2010-05-01,125.536061887388
"Ebonyi",2010-06-01,130
"Ebonyi",2010-07-01,142.220548841688
"Ebonyi",2010-08-01,130
"Ebonyi",2010-09-01,100.338688603154
"Ebonyi",2010-10-01,260
"Ebonyi",2010-11-01,126.337453771521
"Ebonyi",2011-01-01,125
"Ebonyi",2011-02-01,127.519996643066
"Ebonyi",2011-03-01,128.652486165365
"Ebonyi",2011-04-01,120
"Ebonyi",2011-05-01,121.109998703003
"Ebonyi",2011-06-01,139.384834289551
"Ebonyi",2011-07-01,236.339996337891
"Ebonyi",2011-09-01,157
"Ebonyi",2011-10-01,152.520004272461
"Ebonyi",2011-11-01,149.624420166016
"Ebonyi",2011-12-01,164.195320129395
"Ebonyi",2012-01-01,163.360996246338
"Ebonyi",2012-02-01,131.853332519531
"Ebonyi",2012-03-01,133
"Ebonyi",2012-04-01,152.080001831055
"Ebonyi",2012-05-01,121.109998703003
"Ebonyi",2012-06-01,152.080001831055
"Ebonyi",2012-07-01,166.666666666667
"Ebonyi",2012-08-01,160.559997558594
"Ebonyi",2012-09-01,157
"Ebonyi",2012-10-01,180
"Ebonyi",2012-11-01,175
"Ebonyi",2012-12-01,143.703703703704
"Edo",2010-01-01,88.8748448689779
"Edo",2010-02-01,149.846951802572
"Edo",2010-03-01,141.556219736735
"Edo",2010-04-01,193.194821675618
"Edo",2010-05-01,135.408645629883
"Edo",2010-06-01,129.861106872559
"Edo",2010-07-01,158.974021911621
"Edo",2010-08-01,131.318519592285
"Edo",2010-09-01,165.626429239909
"Edo",2010-10-01,165
"Edo",2010-11-01,126.965353647868
"Edo",2010-12-01,145.370379130046
"Edo",2011-01-01,85.0500030517578
"Edo",2011-02-01,147.727279663086
"Edo",2011-03-01,151.645202636719
"Edo",2011-04-01,136.958526611328
"Edo",2011-05-01,168.253967285156
"Edo",2011-06-01,120.200889587402
"Edo",2011-07-01,178.366455078125
"Edo",2011-08-01,183.65217590332
"Edo",2011-09-01,151.658538818359
"Edo",2011-10-01,154.563995361328
"Edo",2011-11-01,155.614974975586
"Edo",2011-12-01,159.148468017578
"Edo",2012-01-01,153.340911865234
"Edo",2012-02-01,131.918426513672
"Edo",2012-03-01,132.948455810547
"Edo",2012-04-01,163.362045288086
"Edo",2012-05-01,168.253967285156
"Edo",2012-06-01,151.143165588379
"Edo",2012-07-01,174.08528137207
"Edo",2012-08-01,190.670394897461
"Edo",2012-09-01,151.890075683594
"Edo",2012-10-01,307.142852783203
"Edo",2012-11-01,155.502380371094
"Edo",2012-12-01,168.371213277181
"Ekiti",2009-01-01,129.960975646973
"Ekiti",2009-02-01,118.918914794922
"Ekiti",2009-03-01,135.135131835938
"Ekiti",2009-04-01,135.135131835938
"Ekiti",2010-01-01,143.758233642578
"Ekiti",2010-02-01,145.581019592285
