"item","state","centre","date","gps","meanPrice"
"Cement Dangote","Abia","Aba",2011-12-01,1,1816.66662597656
"Cement Dangote","Abia","Aba ukwu amano",2011-12-01,1,1816.66662597656
"Cement Dangote","Abia","Umuahia",2011-12-01,1,1816.66662597656
"Cement Dangote","Abia","51 Umuechem Road",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","ACC Mission",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Abala",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Ahia Eke",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Ahia Eke Akoli Akanu",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Amachi Nsulu",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Amaelu",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Ariam",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Chief Issac Imo",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Eziama",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Faith Tab.Congregation",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Holy Tri.Church",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Mr.J.Iroegbulam",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","NDD Primary School",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Ndi Mba Hall",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Obinto Ihechiowa",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Ohambele",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Ugba Junction",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Umonpegh Nvosi",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Umuho Ohokobe",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Umuorie",2011-12-01,0,1816.66662597656
"Cement Dangote","Abia","Uturu",2011-12-01,0,1816.66662597656
"Cement Dangote","Adamawa","Numan",2011-12-01,1,1675
"Cement Dangote","Adamawa","Bakin Kasuwa",2011-12-01,0,1675
"Cement Dangote","Adamawa","Belel",2011-12-01,0,1675
"Cement Dangote","Adamawa","Biyama Hospital",2011-12-01,0,1675
"Cement Dangote","Adamawa","Central Mosque",2011-12-01,0,1675
"Cement Dangote","Adamawa","Company",2011-12-01,0,1675
"Cement Dangote","Adamawa","Dumne",2011-12-01,0,1675
"Cement Dangote","Adamawa","Dutsen Maka",2011-12-01,0,1675
"Cement Dangote","Adamawa","Ganye",2011-12-01,0,1675
"Cement Dangote","Adamawa","Ganye old mkt",2011-12-01,0,1675
"Cement Dangote","Adamawa","Gulak",2011-12-01,0,1675
"Cement Dangote","Adamawa","Gurin",2011-12-01,0,1675
"Cement Dangote","Adamawa","J.B.Manga",2011-12-01,0,1675
"Cement Dangote","Adamawa","Jada mkt",2011-12-01,0,1675
"Cement Dangote","Adamawa","LEFEN",2011-12-01,0,1675
"Cement Dangote","Adamawa","Malamre",2011-12-01,0,1675
"Cement Dangote","Adamawa","Moyo-Wafango",2011-12-01,0,1675
"Cement Dangote","Adamawa","Nalomi Dissol",2011-12-01,0,1675
"Cement Dangote","Adamawa","Numan Gwalam",2011-12-01,0,1675
"Cement Dangote","Adamawa","Sarau",2011-12-01,0,1675
"Cement Dangote","Adamawa","Sebore Suka",2011-12-01,0,1675
"Cement Dangote","Adamawa","Shuwa",2011-12-01,0,1675
"Cement Dangote","Adamawa","Song (Gombi old mkt)",2011-12-01,0,1675
"Cement Dangote","Adamawa","Sunday Bwatasin",2011-12-01,0,1675
"Cement Dangote","Adamawa","Zhau",2011-12-01,0,1675
"Cement Dangote","Akwa Ibom","Abak",2011-12-01,1,1850
"Cement Dangote","Akwa Ibom","Idua Assang",2011-12-01,1,1850
"Cement Dangote","Akwa Ibom","Uyo",2011-12-01,1,1850
"Cement Dangote","Akwa Ibom","Afua mkt",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Apostolic Church",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Atabong",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Chief Ekanem Umana",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Ebughu",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Ediene Abak",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Health Centre",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Ibakang",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Ibiono Opposite",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Ikot Akara Ikot Ese",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Ikot Akpa-Obio",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Ikot Imo",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Mboke Ekpene Ukim",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Mt Zion Church",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","No 28 Iboko Street",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Oron",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Primary School",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Salvation Army Church",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Timber mkt",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Ukpabik Akpan",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Urva Affiong mkt",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Urva Itah",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Urva oto mkt",2011-12-01,0,1850
"Cement Dangote","Akwa Ibom","Village Hall",2011-12-01,0,1850
"Cement Dangote","Benue","Gboko",2011-12-01,1,1704.17004394531
"Cement Dangote","Benue","Katsina-Ala",2011-12-01,1,1704.17004394531
"Cement Dangote","Benue","Markudi",2011-12-01,1,1704.17004394531
"Cement Dangote","Benue","Otukpo",2011-12-01,1,1704.17004394531
"Cement Dangote","Benue","Abakwa",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Ai-Uja Ipole",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Ankyenge mkt",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Assemblies Of God Church",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Bunaka",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Chief Nongo Pilla",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Egwuma",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Garba Agbatse",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Ginde",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Ijigban",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Ikobi",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","LGED Pry.Sch.Manyam",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","LGED Pry.Sch.Tyohembe",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Mbaade",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Mhambe-Mbanor",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Ojaba Idokpo",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Otukpa",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Samuel Nomwhange",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Soom Ortsega",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Tomanyin mkt",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Tyoate",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Ugba mkt",2011-12-01,0,1704.17004394531
"Cement Dangote","Benue","Ukpa",2011-12-01,0,1704.17004394531
"Cement Dangote","Borno","Bama",2011-12-01,1,1866.67004394531
"Cement Dangote","Borno","Gamboru",2011-12-01,1,1866.67004394531
"Cement Dangote","Borno","Maiduguri",2011-12-01,1,1866.67004394531
"Cement Dangote","Borno","Ari Bukar",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","B.Kauji",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","B.Muni",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","B.Musa",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","B.Sedegu",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","B.Tujani",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Benishekh town",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Gajigana",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Gala Gana",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Gulumba",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","H.Musa",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Husara",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Jawullam",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Jilbe",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Kareto",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Kautikari",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","M.Bukar",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","M.Maryam",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","M.Tatabe",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Mbulatawiwi",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Muna Motor park",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Siginabaya",2011-12-01,0,1866.67004394531
"Cement Dangote","Borno","Zaramiri",2011-12-01,0,1866.67004394531
"Cement Dangote","Cross River","Calabar",2011-12-01,1,1683.32995605469
"Cement Dangote","Cross River","Obudu",2011-12-01,1,1683.32995605469
"Cement Dangote","Cross River","Ogoja",2011-12-01,1,1683.32995605469
"Cement Dangote","Cross River","Abasi Obori St",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Abiriba",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Abotai",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Adim",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Bebuagam",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Busim mkt",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Camp 5",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Columbus Owan",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Cooperative Store",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Efut",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Efut mkt",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Ekureku",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Esuk Mba",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Ikom",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Mbora E.Abang Asang St",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Mr.Owan Ogar",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Nfum mkt",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Odot Ndon",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Oduyama",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Ofodua",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Okuku mkt",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Okurike",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Old Ogidi (Ibiaragik",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Otalasi",2011-12-01,0,1683.32995605469
"Cement Dangote","Cross River","Ugbakoko",2011-12-01,0,1683.32995605469
"Cement Dangote","Delta","Asaba",2011-12-01,1,1847.5
"Cement Dangote","Delta","Sapele",2011-12-01,1,1847.5
"Cement Dangote","Delta","Warri",2011-12-01,1,1847.5
"Cement Dangote","Delta","48, Arakpa Rd",2011-12-01,0,1847.5
"Cement Dangote","Delta","Abbraka mkt",2011-12-01,0,1847.5
"Cement Dangote","Delta","Adobu",2011-12-01,0,1847.5
"Cement Dangote","Delta","Afuma St",2011-12-01,0,1847.5
"Cement Dangote","Delta","Agor Jesse",2011-12-01,0,1847.5
"Cement Dangote","Delta","Akpodiete",2011-12-01,0,1847.5
"Cement Dangote","Delta","Aroviwerhen",2011-12-01,0,1847.5
"Cement Dangote","Delta","Burutu",2011-12-01,0,1847.5
"Cement Dangote","Delta","C.M.S School",2011-12-01,0,1847.5
"Cement Dangote","Delta","Chief P.Akaghie",2011-12-01,0,1847.5
"Cement Dangote","Delta","Eke Ashaka mkt",2011-12-01,0,1847.5
"Cement Dangote","Delta","Emevor",2011-12-01,0,1847.5
"Cement Dangote","Delta","Esquire Ikogba",2011-12-01,0,1847.5
"Cement Dangote","Delta","Iloho Ajama",2011-12-01,0,1847.5
"Cement Dangote","Delta","Iregwa Street",2011-12-01,0,1847.5
"Cement Dangote","Delta","Mr Saba",2011-12-01,0,1847.5
"Cement Dangote","Delta","Mr Udemaguna",2011-12-01,0,1847.5
"Cement Dangote","Delta","Okpara Water Side",2011-12-01,0,1847.5
"Cement Dangote","Delta","Owa Alizomo",2011-12-01,0,1847.5
"Cement Dangote","Delta","Pessu mkt",2011-12-01,0,1847.5
"Cement Dangote","Delta","Police Post",2011-12-01,0,1847.5
"Cement Dangote","Delta","Ukunzu",2011-12-01,0,1847.5
"Cement Dangote","Ebonyi","Abakaliki",2011-12-01,1,1822.92004394531
"Cement Dangote","Ebonyi","Abakpa Market",2011-12-01,1,1822.92004394531
"Cement Dangote","Ebonyi","Afikpo",2011-12-01,1,1822.92004394531
"Cement Dangote","Ebonyi","Eke Market",2011-12-01,1,1822.92004394531
"Cement Dangote","Ebonyi","Agubia Health Centre",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Amaikeba",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Amasiri",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Amata Village",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Anyagui",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Chief Lawrence Aja",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Emma Essen Oji Ibiam",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Enyibichiri",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Ettam Okputumo",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Eziga",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Ezzama",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Idemba",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Ishieke mkt Ebonyi LGA",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Isiagu",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Kpirikpiri mkt Abakaliki LGA",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Moses Oko Thomas",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Mr.Romanus Okike",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Ngamgbo Oda",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Ngaragu Uwa",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Nwofe Agbaja",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Nworie Oputa",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","Okposi Okwu",2011-12-01,0,1822.92004394531
"Cement Dangote","Ebonyi","St.Michael Catholic Church",2011-12-01,0,1822.92004394531
"Cement Dangote","Edo","Benin",2011-12-01,1,1700
"Cement Dangote","Edo","Ekpoma",2011-12-01,1,1700
"Cement Dangote","Edo","Uromi",2011-12-01,1,1700
"Cement Dangote","Edo","127,New Lagos Road",2011-12-01,0,1700
"Cement Dangote","Edo","227,Uwelu Rd",2011-12-01,0,1700
"Cement Dangote","Edo","Agbede",2011-12-01,0,1700
"Cement Dangote","Edo","Auchi",2011-12-01,0,1700
"Cement Dangote","Edo","Chief Alabi",2011-12-01,0,1700
"Cement Dangote","Edo","Ebvoarhue",2011-12-01,0,1700
"Cement Dangote","Edo","Edo Pharmaceutical",2011-12-01,0,1700
"Cement Dangote","Edo","Egoro",2011-12-01,0,1700
"Cement Dangote","Edo","Eguare Ubiaja",2011-12-01,0,1700
"Cement Dangote","Edo","Ekpedo",2011-12-01,0,1700
"Cement Dangote","Edo","Fugar",2011-12-01,0,1700
"Cement Dangote","Edo","Igieduma",2011-12-01,0,1700
"Cement Dangote","Edo","Ivbearo",2011-12-01,0,1700
"Cement Dangote","Edo","Izedomwen",2011-12-01,0,1700
"Cement Dangote","Edo","James Eliepo",2011-12-01,0,1700
"Cement Dangote","Edo","John Afesumeh",2011-12-01,0,1700
"Cement Dangote","Edo","Malik Jubril",2011-12-01,0,1700
"Cement Dangote","Edo","Obedu",2011-12-01,0,1700
"Cement Dangote","Edo","Uhie",2011-12-01,0,1700
"Cement Dangote","Edo","Urohi",2011-12-01,0,1700
"Cement Dangote","Edo","Uwelu mkt",2011-12-01,0,1700
"Cement Dangote","Ekiti","Ado-Ekiti",2011-12-01,1,1725
"Cement Dangote","Ekiti","Emure",2011-12-01,1,1725
"Cement Dangote","Ekiti","Ikere-Ekiti",2011-12-01,1,1725
"Cement Dangote","Ekiti","Ikole-Ekiti",2011-12-01,1,1725
"Cement Dangote","Ekiti","Afao mkt Ikere lga",2011-12-01,0,1725
"Cement Dangote","Ekiti","C.A.C.Church",2011-12-01,0,1725
"Cement Dangote","Ekiti","Catholic Church",2011-12-01,0,1725
"Cement Dangote","Ekiti","Elegberun Ikere LGA",2011-12-01,0,1725
"Cement Dangote","Ekiti","Idagba mkt Efon lga",2011-12-01,0,1725
"Cement Dangote","Ekiti","Ifisin",2011-12-01,0,1725
"Cement Dangote","Ekiti","Ilokun Camp",2011-12-01,0,1725
"Cement Dangote","Ekiti","Ogotun-Ekiti",2011-12-01,0,1725
"Cement Dangote","Ekiti","Oja Idara Ekiti east LGA",2011-12-01,0,1725
"Cement Dangote","Ekiti","Oja Imayan Moba lga",2011-12-01,0,1725
"Cement Dangote","Ekiti","Oja Itaji Oye lga",2011-12-01,0,1725
"Cement Dangote","Ekiti","Oja Orita mkt Ijero lga",2011-12-01,0,1725
"Cement Dangote","Ekiti","Oke Ijebu mkt Ikole lga",2011-12-01,0,1725
"Cement Dangote","Ekiti","Oke-Isheri",2011-12-01,0,1725
"Cement Dangote","Ekiti","Okejaguns St",2011-12-01,0,1725
"Cement Dangote","Ekiti","Omuologbo St",2011-12-01,0,1725
"Cement Dangote","Enugu","Enugu",2011-12-01,1,1771.09997558594
"Cement Dangote","Enugu","Nsukka",2011-12-01,1,1771.09997558594
"Cement Dangote","Enugu","Obollo",2011-12-01,1,1771.09997558594
"Cement Dangote","Enugu","Orba",2011-12-01,1,1771.09997558594
"Cement Dangote","Enugu","Afor Iwollo - Ezeagu",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Amagunze",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Amanko Inyi Amani",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Egugu-Ezike",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Eke Agbani-Nkanu-w",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Eke Agu mkt",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Eke Ozzi-Igbo-Eze-n",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Ezimo Agu",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Ihuokwpara",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Ikolo",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Imezi-Owa",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Ndiuno Uwani Akpug",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","New mkt Enugu",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Nkwo Akpugo - Nkanu-w",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Nkwo Ezeagu-Azeagu",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Nkwo Inyi-Oji River",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Nkwo Ogbede-Igbo-Etiti",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Nkwo-Agu Udi",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Nkwo-Ehamufu-Isi-Uzo",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Oduma",2011-12-01,0,1771.09997558594
"Cement Dangote","Enugu","Orie Awgu-Awgu",2011-12-01,0,1771.09997558594
